round,duration_s,loss,accuracy
1,231.6025,2.302976,0.095600
2,236.5946,2.303084,0.102000
3,239.1889,2.306267,0.106900
4,240.7267,2.311905,0.106900
5,238.6846,2.297443,0.106900
6,239.4117,2.039306,0.196600
7,239.7557,1.795016,0.297600
8,239.9905,1.646780,0.365300
9,238.7696,1.578588,0.399600
10,240.5262,1.501564,0.434100
11,238.6601,1.455025,0.459900
12,238.8822,1.374177,0.484800
13,242.2648,1.300098,0.525600
14,239.6806,1.267888,0.541300
15,238.4398,1.243833,0.546800
16,239.1184,1.194445,0.562800
17,241.6976,1.117653,0.589000
18,240.2728,1.127317,0.589900
19,238.5028,1.069037,0.608500
20,239.3486,1.058547,0.615700
